R,Site,Species,Family,Function,Leaf_type,Disease_type,N_c,mean_c,sd_c,Leaf_type0,Disease_type0,N_e,mean_e,sd_e,LON,LAT,ELE,MAT,MAP
HK,23,Persicaria viscosa,Polygonaceae,Forb,Asymptomatic,leaf spots,4,0.002768034,0.000440937,Symptomatic,1,4,0.002413176,0.000276675,96.11575417,33.46384583,4409.75,-2.20000005,509
HK,25,Oxytropis ochrocephala,Legume,Fabaceae,Asymptomatic,rusts,4,0.004648244,0.001070163,Symptomatic,2,4,0.00408951,0.000527428,94.90905694,34.84672639,4333,-2.63333321,285
LM,10,Kobresia humilis,Cyperaceae,Forb,Asymptomatic,leaf blight,3,0.002764867,0.001445361,Symptomatic,1,4,0.003254069,0.001796272,95.34528333,30.80102361,4175.25,1.95000005,624
LM,17,Potentilla bifurca,Rosaceae,Forb,Asymptomatic,leaf blight,3,0.004278485,0.001379279,Symptomatic,1,4,0.002479441,0.000598778,89.26809931,29.33610695,3828.5,6.23750019,390
LM,44,Stellera chamaejasme,Thymelaeaceae,Forb,Asymptomatic,leaf spots,4,0.006341525,0.000516959,Symptomatic,1,4,0.005662981,0.001367148,88.46615347,31.81659306,4564.75,0.941666665,348
LM,47,Kobresia tibetica,Cyperaceae,Forb,Asymptomatic,leaf spots,3,0.005654169,0.000359526,Symptomatic,1,2,0.005177675,0.000215394,92.5625382,34.31670903,4566.75,-3.570833325,279.5
LM,49,Koeleria litvinowii,Poaceae,Grass,Asymptomatic,leaf spots,3,0.007260227,0.000184142,Symptomatic,1,3,0.007005542,0.000440118,98.88483125,35.12221736,4245,-4.47916651,376
LM,50,Potentilla bifurca,Rosaceae,Forb,Asymptomatic,leaf spots,2,0.006257395,0.000379742,Symptomatic,1,3,0.005721925,0.000960308,99.62412639,35.80714931,3729.25,-0.72500008,342
LM,52,Bistorta vivipara,Polygonaceae,Forb,Asymptomatic,leaf spots,4,0.004481147,0.000225447,Symptomatic,1,4,0.004409735,0.000347056,101.5191396,36.30705625,3229.5,0.92083341,493
LM,52,Ligularia virgaurea,Asteraceae,Forb,Asymptomatic,leaf spots,4,0.007828462,0.000639192,Symptomatic,1,3,0.006843393,0.000476874,101.5191396,36.30705625,3229.5,0.92083341,493
LM,54,Ligularia virgaurea,Asteraceae,Forb,Asymptomatic,leaf spots,4,0.006153162,0.00083657,Symptomatic,1,4,0.00617688,0.000549779,101.1122514,35.28862986,3502.25,0.37500003,509
NM,17,Saussurea japonica,Asteraceae,Forb,Asymptomatic,leaf spots,4,0.004759307,0.000462831,Symptomatic,1,4,0.003649445,0.000762807,110.7258132,40.90463681,1726.25,3,335
