Species,Family,Leaf_type,Disease_type,Necrotroph,Biotroph,Disease,Disease2,Begin_weight,End_weight,Begin_time,End_time,Decomposition_time,k,TP,Tannin,Lignin,Cellulose,Hemicellulose,Relative_Abun0,SR2,SR,N,C,C_N,Lignin_N,Tannin_N,PCoA1
Potentilla anserina,Rosaceae,Asymptomatic,0,0,0,0,1,5.0221,3.7795,2022/9/23,2023/4/9,198,0.001435639,47.02048,32.52406375,137.2643868,202.6962667,151.0450093,0.031891263,96,392,26.2,419.4,16.00763359,5.239098733,1.241376479,-0.136392261
Potentilla anserina,Rosaceae,Asymptomatic,0,0,0,0,1,5.0695,3.7855,2022/9/23,2023/4/9,198,0.001475072,46.36544,32.41976096,137.082463,194.7936078,150.7072,0.052076722,101,488,26.3,423.9,16.11787072,5.212260951,1.232690531,-0.163344765
Potentilla anserina,Rosaceae,Asymptomatic,0,0,0,0,1,5.0359,3.385,2022/9/23,2023/4/9,198,0.002006254,43.55848303,32.28159681,130.0964393,190.4685049,149.9117714,0.261987871,121,464,26,419.7,16.14230769,5.003709204,1.241599877,-0.134232475
Potentilla anserina,Rosaceae,Symptomatic,1,1,0,0,1,4.9951,4.1065,2022/9/23,2023/4/9,198,0.000989325,62.43145709,45.41152,229.8069434,297.16644,190.8565185,0.051248149,98,446,16.6,445.8,26.85542169,13.84379177,2.735633735,-0.156699345
Potentilla anserina,Rosaceae,Symptomatic,1,1,0,0,1,5.0166,4.1199,2022/9/23,2023/4/9,198,0.000994563,59.37115538,42.07697211,218.1052407,279.2966,183.6512,0.058828714,136,523,16.6,445.8,26.85542169,13.13886992,2.534757356,-0.179363727
Potentilla anserina,Rosaceae,Symptomatic,1,1,0,0,1,5.0316,4.0566,2022/9/23,2023/4/9,198,0.001087843,59.12448,41.18888889,211.8693491,275.9095385,178.7328,0.165608913,154,556,16.7,446.6,26.74251497,12.68678737,2.466400532,-0.099367744
Potentilla bifurca,Rosaceae,Asymptomatic,0,0,0,0,1,5.0512,4.1459,2022/9/23,2023/4/9,198,0.000997505,99.77968,64.26444444,150.0562037,197.1253333,191.0388679,0.040194627,95,422,19.6,437.5,22.32142857,7.65592876,3.278798186,-0.093456005
Potentilla bifurca,Rosaceae,Asymptomatic,0,0,0,0,1,5.063,4.0348,2022/9/23,2023/4/9,198,0.001146477,95.48428571,61.43368,149.981434,182.667534,188.4768,0.108472604,96,405,19.6,437.4,22.31632653,7.65211398,3.134371429,-0.135757468
Potentilla bifurca,Rosaceae,Asymptomatic,0,0,0,0,1,5.0609,3.3584,2022/9/23,2023/4/9,198,0.002071109,92.97049702,59.68191617,143.7064906,169.9363495,180.4728,0.114819124,136,563,19.5,437.7,22.44615385,7.369563621,3.060611086,-0.079792831
Potentilla bifurca,Rosaceae,Symptomatic,1,1,0,0,1,5.0343,4.23,2022/9/23,2023/4/9,198,0.000879154,92.95872,54.84864,145.9160275,225.10856,187.0737524,0.057612298,118,499,19.2,426.9,22.234375,7.599793099,2.8567,-0.05407669
Potentilla bifurca,Rosaceae,Symptomatic,1,1,0,0,1,5.0186,4.0423,2022/9/23,2023/4/9,198,0.001092612,91.61161034,54.55649402,143.4026055,214.2254615,181.4282963,0.180858191,129,512,19,426.5,22.44736842,7.547505553,2.871394422,-0.080633694
Potentilla bifurca,Rosaceae,Symptomatic,1,1,0,0,1,5.0161,3.6967,2022/9/23,2023/4/9,198,0.001541476,89.59569721,51.83129741,140.1264037,200.1417087,174.5104,0.272600663,146,600,19,426,22.42105263,7.375073879,2.727963022,-0.069108779
Potentilla potaninii,Rosaceae,Asymptomatic,0,0,0,1,0,5.0583,3.7643,2022/9/23,2023/4/9,198,0.001492265,27.66832,20.18016,109.4059907,204.4867723,201.1354074,0.043914392,107,476,23.8,434.5,18.25630252,4.596890366,0.847905882,-0.176466203
Potentilla potaninii,Rosaceae,Asymptomatic,0,0,0,1,0,5.0033,3.598,2022/9/23,2023/4/9,198,0.00166525,26.76750499,19.51488,108.5686822,198.4721524,196.7663551,0.122505465,151,628,24,436,18.16666667,4.523695092,0.81312,-0.209540809
Potentilla potaninii,Rosaceae,Asymptomatic,0,0,0,1,0,5.0231,3.3792,2022/9/23,2023/4/9,198,0.002002062,25.04031809,19.19313373,104.9259908,197.9082308,190.3096,0.15185812,156,622,23.8,435.1,18.28151261,4.408655076,0.80643419,-0.154302892
Potentilla potaninii,Rosaceae,Symptomatic,2,0,1,1,0,4.9956,4.235,2022/9/23,2023/4/9,198,0.000834213,35.5081746,22.42682635,110.9762243,270.3578614,210.2270189,0.028242014,100,454,20.5,436.5,21.29268293,5.413474356,1.093991529,-0.164331141
Potentilla potaninii,Rosaceae,Symptomatic,2,0,1,1,0,5.0662,3.9733,2022/9/23,2023/4/9,198,0.001227243,34.81836327,21.9604,107.0539143,236.611619,205.1952453,0.037902828,107,483,20.5,436.4,21.28780488,5.222142161,1.071239024,-0.172248144
Potentilla potaninii,Rosaceae,Symptomatic,2,0,1,1,0,5.0569,3.7902,2022/9/23,2023/4/9,198,0.001456237,33.13920319,21.86063745,103.2022453,234.8740784,204.3254074,0.078890769,136,575,20.4,436.5,21.39705882,5.058933593,1.071599875,-0.176373274
Ligularia sagitta,Asteraceae,Asymptomatic,0,0,0,0,1,5.0319,2.617,2022/9/23,2023/4/9,198,0.003301864,61.14656,36.10103586,102.0874495,112.3009412,115.7912,0.071680417,124,458,19.7,422.2,21.43147208,5.182104036,1.832539891,0.380079795
Ligularia sagitta,Asteraceae,Asymptomatic,0,0,0,0,1,5.0271,2.5548,2022/9/23,2023/4/9,198,0.003418532,59.56831683,33.98368317,94.45965138,101.787068,113.68,0.081305973,135,566,19.5,421.8,21.63076923,4.844084686,1.742752983,0.326950751
Ligularia sagitta,Asteraceae,Asymptomatic,0,0,0,0,1,5.0155,1.8863,2022/9/23,2023/4/9,198,0.004938969,58.75769384,33.73245509,93.65576852,98.15061538,109.4711698,0.088375291,141,557,19.7,422.3,21.43654822,4.754099925,1.712307365,0.495267105
Ligularia sagitta,Asteraceae,Symptomatic,1,1,0,0,1,5.015,3.0837,2022/9/23,2023/4/9,198,0.002456077,25.73936508,13.30167331,217.3084906,134.1057255,165.9040755,0.018263874,69,336,17.2,421.1,24.48255814,12.63421457,0.773353099,0.509726099
Ligularia sagitta,Asteraceae,Symptomatic,1,1,0,0,1,5.0207,3.0818,2022/9/23,2023/4/9,198,0.002464927,25.55824701,13.07466135,203.5702455,131.1057426,151.9274766,0.021701573,79,348,17,420.1,24.71176471,11.97472032,0.769097726,0.53680043
Ligularia sagitta,Asteraceae,Symptomatic,1,1,0,0,1,5.0259,2.949,2022/9/23,2023/4/9,198,0.002692618,24.72261386,13.03313373,186.3344909,128.9968544,145.3248,0.049062125,135,525,16.9,419.8,24.84023669,11.02570952,0.771191345,0.569262738
Lancea tibetica,Scrophulariaceae,Asymptomatic,0,0,0,0,1,5.0238,3.5042,2022/9/23,2023/4/9,198,0.001819315,62.02751491,20.94277778,93.87983962,181.591,136.0594074,0.034165433,88,352,15.5,443.6,28.61935484,6.056763846,1.351146954,-0.124025042
Lancea tibetica,Scrophulariaceae,Asymptomatic,0,0,0,0,1,5.06,3.1329,2022/9/23,2023/4/9,198,0.002421249,58.5264,20.26541833,87.3683,170.5940784,135.9752,0.048656653,102,473,15.5,444.7,28.69032258,5.636664516,1.307446344,-0.103495498
Lancea tibetica,Scrophulariaceae,Asymptomatic,0,0,0,0,1,5.0135,2.9803,2022/9/23,2023/4/9,198,0.00262682,58.4038171,19.73048,82.88279091,167.128,132.3939439,0.059798322,111,478,15.6,448,28.71794872,5.312999417,1.264774359,-0.133394375
Lancea tibetica,Scrophulariaceae,Symptomatic,1,1,0,0,1,5.0145,3.5516,2022/9/23,2023/4/9,198,0.001742099,65.50966203,28.0896,82.03476636,206.6321165,130.3376,0.050260912,70,297,13.6,427.3,31.41911765,6.031968115,2.065411765,-0.125251043
Lancea tibetica,Scrophulariaceae,Symptomatic,1,1,0,0,1,5.0042,3.1692,2022/9/23,2023/4/9,198,0.002307062,65.3616,27.65852295,77.30688182,206.011098,128.4352,0.0530287,98,427,13.7,431.7,31.51094891,5.642838089,2.018870288,-0.189730049
Lancea tibetica,Scrophulariaceae,Symptomatic,1,1,0,0,1,5.0251,3.164,2022/9/23,2023/4/9,198,0.002336406,62.08015936,26.61736,70.13139815,199.0231238,126.0974206,0.058405613,123,505,13.6,426.3,31.34558824,5.156720452,1.957158824,-0.080160208
Saussurea pulchella,Asteraceae,Asymptomatic,0,0,0,0,1,5.0138,3.2307,2022/9/23,2023/4/9,198,0.002219673,52.29322772,30.04232,107.2566355,139.6685825,155.672,0.057189197,112,450,22,436.4,19.83636364,4.875301614,1.36556,-0.053092096
Saussurea pulchella,Asteraceae,Asymptomatic,0,0,0,0,1,5.0303,3.1739,2022/9/23,2023/4/9,198,0.002325851,52.20384,29.66944444,98.45150926,134.9243564,149.4364528,0.068507157,114,460,22.3,437.2,19.60538117,4.414865886,1.330468361,-0.198101289
Saussurea pulchella,Asteraceae,Asymptomatic,0,0,0,0,1,5.0033,3.1329,2022/9/23,2023/4/9,198,0.002364336,50.82256,27.76286282,94.16272642,127.6689901,147.5056,0.126630703,116,519,22.1,437.9,19.81447964,4.260756852,1.256238137,-0.223935728
Saussurea pulchella,Asteraceae,Symptomatic,1,1,0,0,1,5.0173,3.6189,2022/9/23,2023/4/9,198,0.00165011,43.05904762,32.18661355,175.6712286,165.5828077,181.9808,0.085325435,110,533,15.8,436.7,27.63924051,11.11843219,2.03712744,-0.154550611
Saussurea pulchella,Asteraceae,Symptomatic,1,1,0,0,1,5.0049,3.5245,2022/9/23,2023/4/9,198,0.001771105,40.55552,31.25132673,174.4135185,163.2341154,181.1197736,0.10674494,114,465,15.8,435.6,27.56962025,11.03883028,1.977932072,-0.182467813
Saussurea pulchella,Asteraceae,Symptomatic,1,1,0,0,1,5.0123,3.3274,2022/9/23,2023/4/9,198,0.00206921,39.62619048,27.77510934,162.6260926,158.9525825,175.7168,0.113673225,150,621,15.8,436.6,27.63291139,10.29279067,1.757918313,-0.158129782
Saussurea nigrescens,Asteraceae,Asymptomatic,0,0,0,0,1,5.0021,3.3918,2022/9/23,2023/4/9,198,0.001962106,46.87808,31.95346614,190.0281619,181.6225098,171.3485714,0.017206121,76,364,20.8,441.4,21.22115385,9.135969322,1.536224334,0.128325532
Saussurea nigrescens,Asteraceae,Asymptomatic,0,0,0,0,1,5.0058,3.204,2022/9/23,2023/4/9,198,0.002253521,45.72464,29.54836653,182.8585514,172.5052692,167.3081835,0.028365419,80,378,20.7,442.2,21.36231884,8.833746444,1.42745732,0.428325465
Saussurea nigrescens,Asteraceae,Asymptomatic,0,0,0,0,1,5.0375,3.0113,2022/9/23,2023/4/9,198,0.002598677,44.65277445,29.13064,171.6748981,164.2354,166.0438899,0.037479726,85,388,20.8,441.9,21.24519231,8.25360087,1.400511538,0.36722385
Saussurea nigrescens,Asteraceae,Symptomatic,1,1,0,0,1,5.0233,3.7698,2022/9/23,2023/4/9,198,0.001449824,52.76758483,35.6972,186.9753113,216.069901,197.5057196,0.044214089,85,372,14.9,434.8,29.18120805,12.54867861,2.395785235,0.508671857
Saussurea nigrescens,Asteraceae,Symptomatic,1,1,0,0,1,5.0205,3.7251,2022/9/23,2023/4/9,198,0.001507252,52.19912176,33.11152475,181.8973981,197.2513725,191.0388679,0.057947253,93,390,14.8,435.1,29.39864865,12.29036474,2.237265186,0.268639631
Saussurea nigrescens,Asteraceae,Symptomatic,1,1,0,0,1,5.0384,3.3295,2022/9/23,2023/4/9,198,0.002092255,47.52812749,32.29091633,181.7666789,194.1505631,187.369271,0.345814823,120,502,14.9,434.8,29.18120805,12.19910597,2.167175593,0.457820549
Bistorta vivipara,Polygonaceae,Asymptomatic,0,0,0,1,0,5.0011,4.0821,2022/9/23,2023/4/9,198,0.001025486,68.02772277,39.28222222,191.1129813,179.5554667,148.0862385,0.232829138,96,406,31.6,449.8,14.23417722,6.047879155,1.243108298,-0.071042423
Bistorta vivipara,Polygonaceae,Asymptomatic,0,0,0,1,0,5.0226,3.5312,2022/9/23,2023/4/9,198,0.001779343,65.23113772,36.44974052,183.2477778,176.1147184,147.9919245,0.239263804,107,415,31.5,450,14.28571429,5.817389771,1.15713462,-0.039447138
Bistorta vivipara,Polygonaceae,Asymptomatic,0,0,0,1,0,5.0187,3.2483,2022/9/23,2023/4/9,198,0.002197167,61.81968254,35.73045908,179.3282844,161.3301961,145.8584,0.272318595,111,417,31.7,450.6,14.21451104,5.657043672,1.12714382,-0.039768075
Bistorta vivipara,Polygonaceae,Symptomatic,2,0,1,1,0,5.0294,4.4738,2022/9/23,2023/4/9,198,0.000591225,51.43488,20.03833333,169.9164206,211.6828627,144.0024,0.097877442,73,317,19.8,432.2,21.82828283,8.581637404,1.012037037,-0.076461127
Bistorta vivipara,Polygonaceae,Symptomatic,2,0,1,1,0,5.011,4.3377,2022/9/23,2023/4/9,198,0.000728744,47.63619048,19.51488,168.4205094,198.207068,143.4416604,0.102619702,76,332,19.7,432.2,21.93908629,8.549264437,0.990603046,-0.077078166
Bistorta vivipara,Polygonaceae,Symptomatic,2,0,1,1,0,5.0223,4.2622,2022/9/23,2023/4/9,198,0.000828801,45.63849505,18.27752988,168.0402315,190.5712941,134.0728,0.103254354,78,344,17.7,385.2,21.76271186,9.49379839,1.032628807,-0.076096268
Aster alpinus,Asteraceae,Symptomatic,2,0,1,1,0,5.0081,3.2849,2022/9/23,2023/4/9,198,0.002129901,57.53920635,43.6128,99.51150459,166.8097822,148.6361121,,,,20.9,436.9,20.90430622,4.761316009,2.086736842,
Aster alpinus,Asteraceae,Symptomatic,2,0,1,1,0,4.9852,3.1537,2022/9/23,2023/4/9,198,0.002312612,56.3904,40.60333996,98.55139048,150.47948,146.0208,,,,20.8,436.5,20.98557692,4.738047619,1.952083652,
Aster alpinus,Asteraceae,Symptomatic,2,0,1,1,0,4.9998,3.1567,2022/9/23,2023/4/9,198,0.002322579,55.1587251,38.94217822,87.29629245,149.1296,140.2904,,,,20.9,437.5,20.93301435,4.176856098,1.863262116,
