No.ID,No.paper,Title,Year,Plant.species,Plant_type,Site,Country,Infection_Position,Index,Pathogens,Disease.type,Pathogen.taxon,Life_history,yi,vi
1,1,"Role of Phenolic Metabolism in the Defense of the Olive-tree against
Leaf-spot Disease Caused by Spilocaea oleagina",2013,Olea europaea,Woody,Huan County_1,Morocco,Leaf,Phenolics,Spilocaea oleagina,Leaf spot,Fungus,Necrotroph,0.250520134,0.003413634
2,1,"Role of Phenolic Metabolism in the Defense of the Olive-tree against
Leaf-spot Disease Caused by Spilocaea oleagina",2013,Olea europaea,Woody,Huan County_1,Morocco,Leaf,Lignin,Spilocaea oleagina,Leaf spot,Fungus,Necrotroph,0.492003454,0.000359488
3,1,"Role of Phenolic Metabolism in the Defense of the Olive-tree against
Leaf-spot Disease Caused by Spilocaea oleagina",2013,Olea europaea,Woody,Huan County_1,Morocco,Leaf,Phenolics,Spilocaea oleagina,Leaf spot,Fungus,Necrotroph,0.481991924,0.000387602
4,2,"The modifications of cell wall composition and water status of cucumber
leaves induced by powdery mildew and manganese nutrition",2019,Cucumis sativus,Forb,Isfahan province,Iran,Leaf,Lignin,Podosphaera fuliginea,Powdery mildew,Fungus,Biotroph,0.232943856,0.00235242
5,2,"The modifications of cell wall composition and water status of cucumber
leaves induced by powdery mildew and manganese nutrition",2019,Cucumis sativus,Forb,Isfahan province,Iran,Leaf,Celluloses,Podosphaera fuliginea,Powdery mildew,Fungus,Biotroph,0.318612953,0.002628269
6,2,"The modifications of cell wall composition and water status of cucumber
leaves induced by powdery mildew and manganese nutrition",2019,Cucumis sativus,Forb,Isfahan province,Iran,Leaf,Celluloses,Podosphaera fuliginea,Powdery mildew,Fungus,Biotroph,-0.662078019,0.002607416
7,3,"2,3?Butanediol induces brown blotch resistance in creeping bentgrass by strengthening cell wall structure and promoting lignin synthesis 
of precursor phenolic acid",2023,Agrostis stolonifera,Grass,Lanzhou,China,Leaf,Lignin,Rhizoctonia solani,Brown blotch,Fungus,Necrotroph,0.04959986,5.45E-05
8,3,"2,3?Butanediol induces brown blotch resistance in creeping bentgrass by strengthening cell wall structure and promoting lignin synthesis 
of precursor phenolic acid",2023,Agrostis stolonifera,Grass,Lanzhou,China,Leaf,Celluloses,Rhizoctonia solani,Brown blotch,Fungus,Necrotroph,0.039658027,2.48E-05
9,3,"2,3?Butanediol induces brown blotch resistance in creeping bentgrass by strengthening cell wall structure and promoting lignin synthesis 
of precursor phenolic acid",2023,Agrostis stolonifera,Grass,Lanzhou,China,Leaf,Celluloses,Rhizoctonia solani,Brown blotch,Fungus,Necrotroph,0.023520104,0.000429963
10,4,"Impact of ectomycorrhizal colonization and rust infection on the
secondary metabolism of poplar (Populus trichocarpa ¡Á deltoides)",2012,Populus trichocarpa,Woody,Rostock,Germany,Leaf,Phenolics,Melampsora larici-populina,Rust,Fungus,Biotroph,-0.214743349,0.023194376
11,4,"Impact of ectomycorrhizal colonization and rust infection on the
secondary metabolism of poplar (Populus trichocarpa ¡Á deltoides)",2012,Populus trichocarpa,Woody,Rostock,Germany,Leaf,Tannin,Melampsora larici-populina,Rust,Fungus,Biotroph,0.168898536,0.036496421
12,4,"Impact of ectomycorrhizal colonization and rust infection on the
secondary metabolism of poplar (Populus trichocarpa ¡Á deltoides)",2012,Populus trichocarpa,Woody,Rostock,Germany,Leaf,Lignin,Melampsora larici-populina,Rust,Fungus,Biotroph,-0.129211731,0.028059514
13,5,"Non-pathogenic Powdery Mildews Induce Resistance in Pea (Pisum sativum)
against Erysiphe pisi",2003,Pisum sativum,Forb,Banaras,India,Leaf,Phenolics,Oidium sp.,Powdery mildew,Fungus,Biotroph,0.840783179,0.006666667
14,5,"Non-pathogenic Powdery Mildews Induce Resistance in Pea (Pisum sativum)
against Erysiphe pisi",2003,Pisum sativum,Forb,Banaras,India,Leaf,Phenolics,Phyllactinia corylea,Powdery mildew,Fungus,Biotroph,0.53329848,0.006666667
15,5,"Non-pathogenic Powdery Mildews Induce Resistance in Pea (Pisum sativum)
against Erysiphe pisi",2003,Pisum sativum,Forb,Banaras,India,Leaf,Phenolics,Phyllactinia delbergiae,Powdery mildew,Fungus,Biotroph,0.820980552,0.006666667
16,6,"Effects of fertilization on red pine defense chemistry
and resistance to Sphaeropsis sapinea",2005,Pinus resinosa,Woody,Wooster,America,Leaf,Lignin,Sphaeropsis sapinea,Shoot blight,Fungus,Necrotroph,-0.009264687,0.004
17,6,"Effects of fertilization on red pine defense chemistry
and resistance to Sphaeropsis sapinea",2005,Pinus resinosa,Woody,Wooster,America,Leaf,Phenolics,Sphaeropsis sapinea,Shoot blight,Fungus,Necrotroph,1.098612289,0.004
18,7,"Microstructural and metabolic variations induced by Bipolaris oryzae
inciting brown spot disease of rice",2023,Oryza sativa,Grass,Punjab,India,Leaf,Flavonoids,Bipolaris oryzae,Brown spot,Fungus,Necrotroph,0.032883592,0.008615442
19,7,"Microstructural and metabolic variations induced by Bipolaris oryzae
inciting brown spot disease of rice",2023,Oryza sativa,Grass,Punjab,India,Leaf,Phenolics,Bipolaris oryzae,Brown spot,Fungus,Necrotroph,0.216440253,0.009736109
20,7,"Microstructural and metabolic variations induced by Bipolaris oryzae
inciting brown spot disease of rice",2023,Oryza sativa,Grass,Punjab,India,Leaf,Lignin,Bipolaris oryzae,Brown spot,Fungus,Necrotroph,-0.266851931,0.008634764
21,8,"Ectomycorrhizal Fungi Modulate Biochemical Response against
Powdery Mildew Disease in Quercus robur L.",2022,Quercus robur,Woody,Novi Sad,Serbia,Leaf,Phenolics,Erysiphe alphitoides,Powdery mildew,Fungus,Biotroph,-0.080876123,0.001252791
22,8,"Ectomycorrhizal Fungi Modulate Biochemical Response against
Powdery Mildew Disease in Quercus robur L.",2022,Quercus robur,Woody,Novi Sad,Serbia,Leaf,Flavonoids,Erysiphe alphitoides,Powdery mildew,Fungus,Biotroph,-0.037682986,0.000771784
23,8,"Ectomycorrhizal Fungi Modulate Biochemical Response against
Powdery Mildew Disease in Quercus robur L.",2022,Quercus robur,Woody,Novi Sad,Serbia,Leaf,Lignin,Erysiphe alphitoides,Powdery mildew,Fungus,Biotroph,-0.278571988,0.001104425
24,9,Diplodia sapinea Leaf spot Fungus Necrotroph,2022,Pinus sylvestris,Woody,Breisgau,Germany,Leaf,Lignin,Diplodia sapinea,Leaf spot,Fungus,Necrotroph,0.073494816,0.000975781
25,9,Diplodia sapinea Leaf spot Fungus Necrotroph,2022,Pinus sylvestris,Woody,Breisgau,Germany,Leaf,Celluloses,Diplodia sapinea,Leaf spot,Fungus,Necrotroph,-0.050395027,0.00028803
26,10,"Flagging defensive roles of carbohydrate-active enzymes (CAZymes) and
carbohydrates during Puccinia triticina-wheat interactions",2023,Triticum aestivum,Grass,Bloemfontein,South Africa,Leaf,Phenolics,Puccinia triticina,Rust,Fungus,Biotroph,0.536264649,0.00016471
27,10,"Flagging defensive roles of carbohydrate-active enzymes (CAZymes) and
carbohydrates during Puccinia triticina-wheat interactions",2023,Triticum aestivum,Grass,Bloemfontein,South Africa,Leaf,Celluloses,Puccinia triticina,Rust,Fungus,Biotroph,0.235337644,0.000163864
28,10,"Flagging defensive roles of carbohydrate-active enzymes (CAZymes) and
carbohydrates during Puccinia triticina-wheat interactions",2023,Triticum aestivum,Grass,Bloemfontein,South Africa,Leaf,Celluloses,Puccinia triticina,Rust,Fungus,Biotroph,0.276370096,0.000104729
29,10,"Flagging defensive roles of carbohydrate-active enzymes (CAZymes) and
carbohydrates during Puccinia triticina-wheat interactions",2023,Triticum aestivum,Grass,Bloemfontein,South Africa,Leaf,Lignin,Puccinia triticina,Rust,Fungus,Biotroph,0.263186319,8.62E-05
30,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Picea jezoensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Phenolics,Endoconidiophora fujiensis,Leaf spot,Fungus,Necrotroph,0.852412059,0.003266473
31,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Picea jezoensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Phenolics,Endoconidiophora polonica,Leaf spot,Fungus,Necrotroph,0.450634076,0.007522316
32,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Larix olgensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Phenolics,Endoconidiophora fujiensis,Leaf spot,Fungus,Necrotroph,0.598927208,0.00517746
33,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Larix olgensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Phenolics,Endoconidiophora polonica,Leaf spot,Fungus,Necrotroph,0.72762836,0.001594818
34,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Picea jezoensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Stilbenes,Endoconidiophora fujiensis,Leaf spot,Fungus,Necrotroph,0.110665568,0.083932052
35,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Picea jezoensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Stilbenes,Endoconidiophora polonica,Leaf spot,Fungus,Necrotroph,0.655202249,0.025816867
36,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Larix olgensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Stilbenes,Endoconidiophora fujiensis,Leaf spot,Fungus,Necrotroph,-0.470003629,0.008408333
37,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Larix olgensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Stilbenes,Endoconidiophora polonica,Leaf spot,Fungus,Necrotroph,-0.192371893,0.008073347
38,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Picea jezoensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Flavonoids,Endoconidiophora fujiensis,Leaf spot,Fungus,Necrotroph,0.088337461,0.020284064
39,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Picea jezoensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Flavonoids,Endoconidiophora polonica,Leaf spot,Fungus,Necrotroph,0.469207134,0.018895529
40,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Larix olgensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Flavonoids,Endoconidiophora fujiensis,Leaf spot,Fungus,Necrotroph,-0.271258997,0.003820092
41,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Larix olgensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Flavonoids,Endoconidiophora polonica,Leaf spot,Fungus,Necrotroph,0.163058741,0.009916945
42,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Picea jezoensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Lignin,Endoconidiophora fujiensis,Leaf spot,Fungus,Necrotroph,1.104057208,0.010081576
43,11,"Performance of two Ips bark
beetles and their associated
pathogenic fungi on hosts
reflects a species-specific
association in the beetlefungus complex",2022,Picea jezoensis,Woody,"Jingouling
Forest Farm.Jilin",China,Leaf,Lignin,Endoconidiophora polonica,Leaf spot,Fungus,Necrotroph,0.016246616,0.006567819
